id_cliente,ano_nascimento,nivel_educacao,estado_civil,salario_anual_dolar,criancas_ate_dez_anos,criancas_mais_dez_anos,data_entrada,resposta_campanha
5524,1957,Ensino Superior,Solteiro,58138,0,0,2020-09-04,1
2174,1954,Ensino Superior,Solteiro,46344,1,1,2022-03-08,0
4141,1965,Ensino Superior,União estável,71613,0,0,2021-08-21,0
6182,1984,Ensino Superior,União estável,26646,1,0,2022-02-10,0
5324,1981,Pós-graduação,Casado,58293,1,0,2022-01-19,0
7446,1967,Pós-graduação,União estável,62513,0,1,2021-09-09,0
965,1971,Ensino Superior,Divorciado,55635,0,1,2020-11-13,0
6177,1985,Pós-graduação,Casado,33454,1,0,2021-05-08,0
4855,1974,Pós-graduação,União estável,30351,1,0,2021-06-06,1
5899,1950,Pós-graduação,União estável,5648,1,1,2022-03-13,0
1994,1983,Ensino Superior,Casado,,1,0,2021-11-15,0
387,1976,Ensino Médio,Casado,7500,0,0,2020-11-13,0
2125,1959,Ensino Superior,Divorciado,63033,0,0,2021-11-15,0
8180,1952,Pós-graduação,Divorciado,59354,1,1,2021-11-15,0
2569,1987,Ensino Superior,Casado,17323,0,0,2020-10-10,0
2114,1946,Pós-graduação,Solteiro,82800,0,0,2020-11-24,1
9736,1980,Ensino Superior,Casado,41850,1,1,2020-12-24,0
4939,1946,Ensino Superior,União estável,37760,0,0,2020-08-31,0
6565,1949,Pós-graduação,Casado,76995,0,1,2021-03-28,0
2278,1985,Ensino Médio,Solteiro,33812,1,0,2020-11-03,0
9360,1982,Ensino Superior,Casado,37040,0,0,2020-08-08,0
5376,1979,Ensino Superior,Casado,2447,1,0,2021-01-06,0
1993,1949,Pós-graduação,Casado,58607,0,1,2020-12-23,0
4047,1954,Pós-graduação,Casado,65324,0,1,2022-01-11,0
1409,1951,Ensino Superior,União estável,40689,0,1,2021-03-18,0
7892,1969,Ensino Superior,Solteiro,18589,0,0,2021-01-02,0
2404,1976,Ensino Superior,Casado,53359,1,1,2021-05-27,0
5255,1986,Ensino Superior,Solteiro,,1,0,2021-02-20,0
9422,1989,Ensino Superior,Casado,38360,1,0,2021-05-31,0
