id_transacao,id_cliente,data_transacao,lugar_transacao
553340574,5524,2020-09-04,loja online
655366397,5524,2021-01-10,loja online
435749393,5524,2020-11-01,loja online
804849650,5524,2021-03-27,loja online
613025948,5524,2020-09-15,loja online
490313897,5524,2020-09-16,loja online
230281768,5524,2021-02-20,loja online
224549730,5524,2020-09-26,loja online
278623887,2174,2022-03-08,loja online
417404147,4141,2021-08-21,loja online
853940535,4141,2021-12-13,loja online
269330842,4141,2021-11-14,loja online
585752911,4141,2022-10-09,loja online
766050421,4141,2022-07-05,loja online
598691196,4141,2022-01-31,loja online
391854334,4141,2022-06-16,loja online
734878750,4141,2021-10-25,loja online
638098769,6182,2022-02-10,loja online
632064051,6182,2022-08-12,loja online
554604051,5324,2022-01-19,loja online
420507261,5324,2022-04-12,loja online
157035374,5324,2022-07-13,loja online
884687918,5324,2022-11-09,loja online
457420345,5324,2022-05-26,loja online
559633525,7446,2021-09-09,loja online
734791030,7446,2021-11-11,loja online
834357970,7446,2021-12-04,loja online
828053916,7446,2022-02-08,loja online
367322999,7446,2022-03-22,loja online
845620472,7446,2021-12-12,loja online
244278970,965,2020-11-13,loja online
190607103,965,2022-10-30,loja online
603082113,965,2022-03-26,loja online
153565119,965,2022-08-01,loja online
601407108,965,2021-03-31,loja online
596262540,965,2021-05-29,loja online
112456560,965,2021-03-17,loja online
222039472,6177,2021-05-08,loja online
314094128,6177,2022-10-30,loja online
295229429,6177,2022-03-06,loja online
314077221,6177,2022-05-05,loja online
641112280,4855,2021-06-06,loja online
466519574,4855,2022-07-23,loja online
248369658,4855,2022-03-20,loja online
433154496,5899,2022-03-13,loja online
840085196,1994,2021-11-15,loja online
290677334,387,2020-11-13,loja online
721496773,387,2021-09-05,loja online
658203538,2125,2021-11-15,loja online
510002511,2125,2022-04-03,loja online
104964583,2125,2022-02-03,loja online
374872162,8180,2021-11-15,loja online
598563558,8180,2022-05-15,loja online
642757257,8180,2022-05-03,loja online
281702138,8180,2022-08-15,loja online
454954386,8180,2022-10-18,loja online
846056188,8180,2022-06-08,loja online
300489604,2569,2020-10-10,loja online
644196606,2114,2020-11-24,loja online
114988171,2114,2022-07-19,loja online
494908613,2114,2021-06-16,loja online
561005543,2114,2020-12-30,loja online
757235867,2114,2021-01-16,loja online
735551572,2114,2022-01-01,loja online
349849081,2114,2022-03-01,loja online
241974219,9736,2020-12-24,loja online
263190853,9736,2021-11-11,loja online
585710537,9736,2022-05-06,loja online
653062831,4939,2020-08-31,loja online
388694279,4939,2022-07-15,loja online
529177608,4939,2021-06-06,loja online
259961649,4939,2021-01-23,loja online
286478465,6565,2021-03-28,loja online
517250315,6565,2021-10-02,loja online
809015080,6565,2021-12-04,loja online
445674780,6565,2021-06-11,loja online
756635691,6565,2021-11-18,loja online
436911978,6565,2021-07-03,loja online
686995133,6565,2021-07-11,loja online
720279107,6565,2022-03-31,loja online
845166516,6565,2021-08-21,loja online
332659703,6565,2022-02-08,loja online
158762744,6565,2021-04-16,loja online
446966532,2278,2020-11-03,loja online
608703518,2278,2021-01-08,loja online
270751873,9360,2020-08-08,loja online
517885493,9360,2022-07-30,loja online
432218586,9360,2021-04-27,loja online
437809926,9360,2021-09-21,loja online
797279825,1993,2020-12-23,loja online
454972446,1993,2021-04-11,loja online
427993333,4047,2022-01-11,loja online
535307421,4047,2022-09-18,loja online
431688245,4047,2022-11-25,loja online
439484559,4047,2022-08-30,loja online
405940784,4047,2022-06-04,loja online
850158774,4047,2022-12-24,loja online
814269706,1409,2021-03-18,loja online
142658733,1409,2021-03-28,loja online
400545974,1409,2022-05-02,loja online
803844115,1409,2022-03-28,loja online
448673374,1409,2021-05-05,loja online
773250344,1409,2021-10-22,loja online
212630462,1409,2022-11-30,loja online
471950221,7892,2021-01-02,loja online
187499195,7892,2021-07-09,loja online
336079166,2404,2021-05-27,loja online
784174272,2404,2021-12-13,loja online
634474017,2404,2022-05-23,loja online
241080151,2404,2021-07-01,loja online
586645223,2404,2021-07-20,loja online
399951216,5255,2021-02-20,loja online
284122465,5255,2022-10-27,loja online
346586260,5255,2021-05-31,loja online
243362886,5255,2021-06-26,loja online
241002243,5255,2022-03-29,loja online
782672162,5255,2021-08-10,loja online
216615482,5255,2021-05-15,loja online
232241808,5255,2021-10-05,loja online
409502338,5255,2021-04-06,loja online
281233723,5255,2022-04-25,loja online
493467667,5255,2021-04-02,loja online
577125292,5255,2022-05-25,loja online
164107854,5255,2022-02-02,loja online
271046508,5255,2021-11-27,loja online
367329327,5255,2021-08-29,loja online
211877799,5255,2022-05-18,loja online
349402607,5255,2021-04-16,loja online
207211291,5255,2021-12-06,loja online
773627722,5255,2021-06-12,loja online
479194163,5255,2021-06-16,loja online
272592028,5255,2021-05-04,loja online
448548981,5255,2022-03-06,loja online
466844521,5255,2022-07-25,loja online
393984740,5255,2021-05-23,loja online
775125959,5255,2022-01-27,loja online
282555602,5255,2022-03-12,loja online
275110250,5255,2021-03-20,loja online
887572096,9422,2021-05-31,loja online
366462306,9422,2022-09-07,loja online
155203938,1966,2021-11-22,loja online
471932120,1966,2022-03-01,loja online
612215326,1966,2021-12-17,loja online
431714228,1966,2022-08-25,loja online
201124540,1966,2022-10-24,loja online
258438833,1966,2022-09-27,loja online
273760315,6864,2022-05-22,loja online
294455866,6864,2022-09-30,loja online
370479361,6864,2022-11-05,loja online
431557717,3033,2021-05-11,loja online
673494795,3033,2021-10-20,loja online
110491707,5710,2020-10-10,loja online
474622693,5710,2020-11-18,loja online
820570185,7373,2020-10-29,loja online
878568670,7373,2020-11-20,loja online
787926967,7373,2022-02-03,loja online
123425553,7373,2022-01-28,loja online
206523239,8755,2021-02-20,loja online
403621055,8755,2021-06-22,loja online
173406786,8755,2021-07-04,loja online
802920656,10738,2021-08-29,loja online
196005755,10738,2021-10-26,loja online
574537143,4339,2021-12-31,loja online
813923929,4339,2022-01-30,loja online
842706360,4339,2022-01-17,loja online
302829536,4339,2022-07-06,loja online
558538627,4339,2022-08-30,loja online
298125463,10755,2021-09-02,loja online
748329549,10755,2021-09-10,loja online
498186539,10755,2022-03-26,loja online
883093505,8595,2022-02-11,loja online
100580479,2968,2021-02-01,loja online
524648110,2968,2021-04-14,loja online
521884674,2968,2022-10-08,loja online
829411396,2968,2021-05-12,loja online
597001852,2968,2022-04-26,loja online
191955542,2968,2021-02-09,loja online
704296097,2968,2021-04-22,loja online
274572498,8601,2021-04-29,loja online
487946624,8601,2021-06-24,loja online
897430972,8601,2022-10-14,loja online
530682908,8601,2021-05-26,loja online
169619293,8601,2022-02-02,loja online
263050584,8601,2021-07-02,loja online
450259376,8601,2021-12-26,loja online
286596718,8601,2021-05-30,loja online
479221132,503,2021-03-12,loja online
757383936,503,2021-12-24,loja online
559548023,7281,2021-11-05,loja online
255079395,2139,2021-10-02,loja online
871803664,2139,2022-08-26,loja online
496046266,1371,2022-06-28,loja online
729946180,1371,2022-09-14,loja online
293423937,9909,2020-11-09,loja online
137315472,9909,2020-12-03,loja online
592650263,9909,2022-02-02,loja online
870656853,7286,2021-05-24,loja online
